"NoBatch","Batch","Batch1","Batch2","Batch3","ComBat","Avg","n_Avg","CS_Avg","Reg_a","Reg_s"
0.678185595567867,0.636980609418283,0.684937673130194,0.580990304709141,0.502008310249307,0.56485457063712,0.66665512465374,0.66665512465374,0.655713296398892,0.659314404432133,0.682236842105263
0.689785318559557,0.662222991689751,0.674982686980609,0.611080332409973,0.561218836565097,0.574653739612188,0.674168975069253,0.674168975069253,0.681855955678671,0.670983379501386,0.685318559556787
0.684175900277009,0.616343490304709,0.660491689750692,0.502458448753463,0.552423822714682,0.532029085872576,0.638504155124654,0.638504155124654,0.67171052631579,0.627389196675901,0.669494459833796
0.679501385041551,0.623580332409973,0.664594875346261,0.529085872576177,0.549757617728531,0.607548476454294,0.651558171745153,0.651558171745153,0.678878116343491,0.644425207756233,0.670394736842105
0.697749307479225,0.664023545706372,0.700173130193906,0.599584487534627,0.543421052631579,0.691447368421053,0.675900277008311,0.675900277008311,0.70090027700831,0.669806094182826,0.69878808864266
0.681578947368422,0.613469529085873,0.707583102493075,0.546191135734072,0.528497229916898,0.672368421052632,0.643421052631578,0.643421052631578,0.549168975069252,0.632583102493075,0.681890581717452
0.677908587257618,0.624930747922437,0.700519390581717,0.496849030470914,0.518178670360111,0.567901662049861,0.652562326869806,0.652562326869806,0.504709141274237,0.639473684210527,0.677146814404433
0.682375346260387,0.631509695290859,0.693663434903047,0.604016620498615,0.577666204986151,0.567624653739613,0.690685595567867,0.690685595567867,0.629501385041552,0.68871191135734,0.689785318559558
0.672541551246538,0.598407202216067,0.687430747922438,0.450034626038781,0.534349030470914,0.578774238227146,0.636945983379503,0.636945983379503,0.673614958448753,0.629224376731303,0.668213296398892
0.678462603878117,0.622056786703601,0.690685595567868,0.571364265927978,0.624653739612189,0.562534626038782,0.673060941828256,0.673060941828256,0.614473684210527,0.669979224376732,0.669702216066482
0.682548476454293,0.638642659279778,0.686340027700831,0.545948753462604,0.528774238227147,0.667070637119114,0.657686980609418,0.657686980609418,0.657894736842105,0.650900277008309,0.675554016620498
0.690650969529086,0.642174515235458,0.6836391966759,0.605817174515235,0.469840720221607,0.663469529085874,0.661738227146816,0.661738227146816,0.680367036011081,0.652977839335181,0.686599722991691
0.668144044321331,0.621398891966758,0.665339335180056,0.473303324099723,0.573822714681441,0.539508310249307,0.640304709141275,0.640304709141275,0.615339335180055,0.635006925207757,0.641689750692521
0.682756232686981,0.676523545706371,0.676385041551247,0.68002077562327,0.526073407202216,0.563504155124654,0.675173130193906,0.675173130193906,0.688538781163435,0.671502770083103,0.689023545706372
0.671502770083103,0.636945983379501,0.667936288088642,0.53628808864266,0.677735457063713,0.552146814404432,0.692901662049861,0.692901662049861,0.680367036011082,0.693282548476454,0.692313019390582
0.695740997229917,0.56308864265928,0.682877423822715,0.51101108033241,0.511288088642659,0.699168975069252,0.617728531855957,0.617728531855957,0.565650969529086,0.603878116343491,0.671329639889197
0.680678670360112,0.65090027700831,0.68005540166205,0.551869806094182,0.52946675900277,0.570498614958448,0.65117728531856,0.65117728531856,0.55121191135734,0.642693905817175,0.677908587257618
0.681128808864267,0.633518005540166,0.688781163434903,0.520948753462604,0.561565096952908,0.596987534626039,0.656855955678671,0.656855955678671,0.697333795013851,0.64851108033241,0.694113573407202
0.676696675900278,0.647645429362881,0.691135734072022,0.559591412742382,0.489612188365651,0.565027700831025,0.65713296398892,0.65713296398892,0.584314404432134,0.647783933518006,0.680921052631579
0.681682825484764,0.648788088642661,0.668576869806094,0.566724376731302,0.434141274238227,0.645914127423823,0.637811634349031,0.637811634349031,0.677527700831025,0.629362880886428,0.667763157894737
0.668975069252077,0.639058171745152,0.670550554016621,0.566793628808864,0.593005540166205,0.534799168975069,0.658552631578947,0.658552631578947,0.664716066481994,0.656128808864265,0.674653739612189
0.68424515235457,0.632375346260387,0.685734072022161,0.516551246537396,0.570186980609419,0.552250692520776,0.678635734072022,0.678635734072022,0.674965373961219,0.673268698060942,0.684314404432132
0.686807479224377,0.629328254847645,0.687084487534626,0.546260387811635,0.551281163434903,0.559556786703601,0.67084487534626,0.67084487534626,0.682132963988919,0.664819944598339,0.688885041551247
0.688573407202217,0.648926592797785,0.67349376731302,0.598961218836565,0.480505540166205,0.572056786703601,0.64463296398892,0.64463296398892,0.64972299168975,0.63957756232687,0.663608033240998
0.686634349030471,0.628601108033241,0.687984764542936,0.538054016620498,0.502770083102493,0.562049861495844,0.647403047091414,0.647403047091414,0.65505540166205,0.63808864265928,0.671364265927978
0.687084487534626,0.626108033240997,0.676990997229917,0.553047091412742,0.461495844875346,0.628704986149584,0.646018005540168,0.646018005540168,0.657686980609419,0.634972299168975,0.667970914127425
0.690373961218838,0.643490304709143,0.673095567867037,0.547853185595569,0.602666204986149,0.571745152354571,0.647610803324099,0.647610803324099,0.677908587257617,0.642416897506925,0.674653739612188
