"Avg","n_Avg","CS_Avg","Reg_a","Reg_s"
0.643878069334226,0.643878069334226,0.643504616537199,0.631292235595933,0.627868584095011
0.638080186538983,0.638080186538983,0.652323692872734,0.619449166548487,0.618766217294106
0.641985284449014,0.641985284449014,0.642693070049474,0.623830147329968,0.627008782487789
0.636503473992342,0.636503473992342,0.631189246875644,0.616005201130881,0.62835050805073
0.64902472697322,0.64902472697322,0.661635575897029,0.625909519316283,0.627368713198187
0.659668066003761,0.659668066003761,0.662515796197358,0.639248848814516,0.637338221241931
0.661182105418198,0.661182105418198,0.653958188162985,0.624083683237068,0.643406590542625
0.64616067244555,0.64616067244555,0.648814497102567,0.618943535917771,0.62344773308817
0.655345910808405,0.655345910808405,0.653595778470395,0.61946429863458,0.616250168640143
0.639113742009946,0.639113742009946,0.636157351812631,0.618064315368318,0.628947646965222
0.639602609649551,0.639602609649551,0.651250189431071,0.591401190363741,0.611792631224122
0.647637355349002,0.647637355349002,0.654427480503514,0.615136161899925,0.623264122502569
0.662179290889908,0.662179290889908,0.660898606975251,0.626070428148512,0.634686242448924
0.648985100040761,0.648985100040761,0.655337063317429,0.611124736053253,0.635985705444434
0.643347236737309,0.643347236737309,0.652477286951393,0.596287562117931,0.613122677244034
0.647856719215151,0.647856719215151,0.642545337592731,0.619320463564647,0.629686499919465
0.653415424309566,0.653415424309566,0.648177686383313,0.613801070864724,0.621494209556151
0.664174054060917,0.664174054060917,0.659989066631466,0.643189092394854,0.644748374176486
0.664513043360692,0.664513043360692,0.660256424790884,0.643643079268104,0.638859968844069
0.654352292521316,0.654352292521316,0.652066364439631,0.650922303093416,0.636728748318218
0.660075464388222,0.660075464388222,0.645144155050033,0.626237047323578,0.626200515764633
0.651197371316047,0.651197371316047,0.648972472509323,0.634952811862381,0.623074866345548
0.669132916782478,0.669132916782478,0.651677006404572,0.622180643951329,0.627503458513639
0.648290900497086,0.648290900497085,0.658207349961845,0.629282082864002,0.642632715726466
0.641122675168154,0.641122675168154,0.645332161942703,0.616846506865932,0.618481081514163
0.657952570165002,0.657952570165002,0.656217808365642,0.629699280410702,0.619641327625891
0.630519452277227,0.630519452277227,0.642871185087088,0.59743426152286,0.593782852478242
0.64777774855837,0.64777774855837,0.663534286564182,0.629820721146054,0.640999936045156
0.655431828087895,0.655431828087895,0.658132450292413,0.62688536607144,0.634782817527462
0.640984201464616,0.640984201464616,0.649180058809427,0.612055531338068,0.622459273802744
0.645350098992973,0.645350098992973,0.654202807893067,0.619352534637759,0.621076189226489
0.653705048514064,0.653705048514064,0.651545946161638,0.6287509135745,0.632106149488664
0.656913565627225,0.656913565627225,0.644538641111147,0.622834756636028,0.633023184576522
0.65396864826514,0.65396864826514,0.656128638945834,0.623095601396301,0.621291232323909
0.641607588249186,0.641607588249186,0.644639074989424,0.604848397070589,0.62149109794896
0.662311627210735,0.662311627210735,0.654347192713635,0.643710871930808,0.632565881840011
